Step,Mode,Time,Sx:0.5,Sy:0.5
0,1,1.39,19.65753241,10.19031462
0,1,1.4,19.79895351,10.19502624
0,1,1.41,19.94037461,10.19875785
0,1,1.42,20.0817957,10.20150947
0,1,1.43,20.2232168,10.20328108
0,1,1.44,20.3646379,10.2040727
0,1,1.45,20.50605899,10.20388432
0,1,1.46,20.64748009,10.20271593
0,1,1.47,20.78890119,10.20056755
0,1,1.48,20.93032228,10.19743916
0,1,1.49,21.07174338,10.19333078
0,1,1.5,21.21316448,10.1882424
0,1,1.51,21.35458557,10.18217401
0,1,1.52,21.49600667,10.17512563
0,1,1.53,21.63742776,10.16709724
0,1,1.54,21.77884886,10.15808886
0,1,1.55,21.92026996,10.14810048
0,1,1.56,22.06169105,10.13713209
0,1,1.57,22.20311215,10.12518371
0,1,1.58,22.34453325,10.11225532
0,1,1.59,22.48595434,10.09834694
0,1,1.6,22.62737544,10.08345856
0,1,1.61,22.76879654,10.06759017
0,1,1.62,22.91021763,10.05074179
0,1,1.63,23.05163873,10.0329134
0,1,1.64,23.19305983,10.01410502
0,1,1.65,23.33448092,9.994316635
0,1,1.66,23.47590202,9.973548251
0,1,1.67,23.61732312,9.951799867
0,1,1.68,23.75874421,9.929071483
0,1,1.69,23.90016531,9.905363099
0,1,1.7,24.04158641,9.880674715
0,1,1.71,24.1830075,9.855006331
0,1,1.72,24.3244286,9.828357947
0,1,1.73,24.46584969,9.800729563
0,1,1.74,24.60727079,9.772121179
0,1,1.75,24.74869189,9.742532795
0,1,1.76,24.89011298,9.711964411
0,1,1.77,25.03153408,9.680416027
0,1,1.78,25.17295518,9.647887643
0,1,1.79,25.31437627,9.614379259
0,1,1.8,25.45579737,9.579890875
0,1,1.81,25.59721847,9.544422491
0,1,1.82,25.73863956,9.507974107
0,1,1.83,25.88006066,9.470545723
0,1,1.84,26.02148176,9.432137339
0,1,1.85,26.16290285,9.392748955
0,1,1.86,26.30432395,9.352380571
0,1,1.87,26.44574505,9.311032187
0,1,1.88,26.58716614,9.268703803
0,1,1.89,26.72858724,9.225395419
0,1,1.9,26.87000834,9.181107035
0,1,1.91,27.01142943,9.135838651
0,1,1.92,27.15285053,9.089590267
0,1,1.93,27.29427162,9.042361883
0,1,1.94,27.43569272,8.994153499
0,1,1.95,27.57711382,8.944965115
0,1,1.96,27.71853491,8.89479673
0,1,1.97,27.85995601,8.843648346
0,1,1.98,28.00137711,8.791519962
0,1,1.99,28.1427982,8.738411578
0,1,2,28.2842193,8.684323194
0,1,2.01,28.4256404,8.62925481
0,1,2.02,28.56706149,8.573206426
0,1,2.03,28.70848259,8.516178042
0,1,2.04,28.84990369,8.458169658
0,1,2.05,28.99132478,8.399181274
0,1,2.06,29.13274588,8.33921289
0,1,2.07,29.27416698,8.278264506
0,1,2.08,29.41558807,8.216336122
0,1,2.09,29.55700917,8.153427738
0,1,2.1,29.69843027,8.089539354
0,1,2.11,29.83985136,8.02467097
0,1,2.12,29.98127246,7.958822586
0,1,2.13,30.12269355,7.891994202
0,1,2.14,30.26411465,7.824185818
0,1,2.15,30.40553575,7.755397434
0,1,2.16,30.54695684,7.68562905
0,1,2.17,30.68837794,7.614880666
0,1,2.18,30.82979904,7.543152282
0,1,2.19,30.97122013,7.470443898
0,1,2.2,31.11264123,7.396755514
0,1,2.21,31.25406233,7.32208713
0,1,2.22,31.39548342,7.246438746
0,1,2.23,31.53690452,7.169810362
0,1,2.24,31.67832562,7.092201978
0,1,2.25,31.81974671,7.013613594
0,1,2.26,31.96116781,6.93404521
0,1,2.27,32.10258891,6.853496826
0,1,2.28,32.24401,6.771968442
0,1,2.29,32.3854311,6.689460058
0,1,2.3,32.5268522,6.605971674
0,1,2.31,32.66827329,6.52150329
0,1,2.32,32.80969439,6.436054905
0,1,2.33,32.95111549,6.349626521
0,1,2.34,33.09253658,6.262218137
0,1,2.35,33.23395768,6.173829753
0,1,2.36,33.37537877,6.084461369
0,1,2.37,33.51679987,5.994112985
0,1,2.38,33.65822097,5.902784601
0,1,2.39,33.79964206,5.810476217
0,1,2.4,33.94106316,5.717187833
0,1,2.41,34.08248426,5.622919449
0,1,2.42,34.22390535,5.527671065
0,1,2.43,34.36532645,5.431442681
0,1,2.44,34.50674755,5.334234297
0,1,2.45,34.64816864,5.236045913
0,1,2.46,34.78958974,5.136877529
0,1,2.47,34.93101084,5.036729145
0,1,2.48,35.07243193,4.935600761
0,1,2.49,35.21385303,4.833492377
0,1,2.5,35.35527413,4.730403993
0,1,2.51,35.49669522,4.626335609
0,1,2.52,35.63811632,4.521287225
0,1,2.53,35.77953742,4.415258841
0,1,2.54,35.92095851,4.308250457
0,1,2.55,36.06237961,4.200262073
0,1,2.56,36.2038007,4.091293689
0,1,2.57,36.3452218,3.981345305
0,1,2.58,36.4866429,3.870416921
0,1,2.59,36.62806399,3.758508537
0,1,2.6,36.76948509,3.645620153
0,1,2.61,36.91090619,3.531751769
0,1,2.62,37.05232728,3.416903385
0,1,2.63,37.19374838,3.301075001
0,1,2.64,37.33516948,3.184266617
0,1,2.65,37.47659057,3.066478233
0,1,2.66,37.61801167,2.947709849
0,1,2.67,37.75943277,2.827961464
0,1,2.68,37.90085386,2.70723308
0,1,2.69,38.04227496,2.585524696
0,1,2.7,38.18369606,2.462836312
0,1,2.71,38.32511715,2.339167928
0,1,2.72,38.46653825,2.214519544
0,1,2.73,38.60795935,2.08889116
0,1,2.74,38.74938044,1.962282776
0,1,2.75,38.89080154,1.834694392
0,1,2.76,39.03222263,1.706126008
0,1,2.77,39.17364373,1.576577624
0,1,2.78,39.31506483,1.44604924
0,1,2.79,39.45648592,1.314540856
0,1,2.8,39.59790702,1.182052472
0,1,2.81,39.73932812,1.048584088
0,1,2.82,39.88074921,0.914135704
0,1,2.83,40.02217031,0.77870732
0,1,2.84,40.16359141,0.642298936
0,1,2.85,40.3050125,0.504910552
