Step,Mode,Time,v:3,x:3,y:3,z:3
0,1,83,2.5,,,
0,1,165,1.2,,, 
0,1,223,0.8,,, 
1,2,262,0.6,,, 
1,2,285,1.6,,,
1,2,333,6.5,,,
1,2,362,7.5,,,
1,2,398,10.8,,,
2,3,417,10.5,,, 
2,3,508,0.6,,,
2,3,592,0.2,,, 
3,4,798,0.8,,,
3,4,840,2.5,,,
3,4,894,5.9,,,
3,4,922,8,,,
3,4,950,10.3,,,
