Time,x:1,v:1,Mode,Step
1.7503,-0.558668705,11.30307929,2,1
1.7603,-0.445009382,11.41117333,2,1
1.7703,-0.330625446,11.45340615,2,1
1.7803,-0.216173173,11.42993683,2,1
1.7903,-0.102297604,11.34134853,2,1
1.8074,0.089619747,11.12658256,3,2
1.9074,1.153278003,10.14658256,3,2
2.0074,2.118936259,9.166582557,3,2
2.1074,2.986594515,8.186582557,3,2
2.2074,3.75625277,7.206582557,3,2
2.3074,4.427911026,6.226582557,3,2
2.4074,5.001569282,5.246582557,3,2
2.5074,5.477227537,4.266582557,3,2
2.6074,5.854885793,3.286582557,3,2
2.7074,6.134544049,2.306582557,3,2
2.8074,6.316202304,1.326582557,3,2
2.9074,6.39986056,0.346582557,3,2
3.0074,6.385518816,-0.633417443,3,2
3.1074,6.273177071,-1.613417443,3,2
3.2074,6.062835327,-2.593417443,3,2
3.3074,5.754493583,-3.573417443,3,2
3.4074,5.348151838,-4.553417443,3,2
3.5074,4.843810094,-5.533417443,3,2
3.6074,4.24146835,-6.513417443,3,2
3.7074,3.541126606,-7.493417443,3,2
3.8074,2.742784861,-8.473417443,3,2
3.9074,1.846443117,-9.453417443,3,2
4.0074,0.852101373,-10.43341744,3,2
4.0884,-0.025137163,-11.20961306,4,3
4.0984,-0.137144709,-11.18122798,4,3
4.1084,-0.248550767,-11.08941025,4,3
4.1184,-0.358724664,-10.93513367,4,3
4.1284,-0.467053075,-10.71971956,4,3
4.1384,-0.572957095,-10.44483253,4,3
4.1484,-0.675828955,-10.11247975,4,3
4.1584,-0.775084907,-9.724953793,4,3
4.1684,-0.870177902,-9.284824971,4,3
4.1784,-0.960597589,-8.794941322,4,3
4.1884,-1.045870317,-8.258428619,4,3
4.1984,-1.125559133,-7.678690374,4,3
4.2084,-1.199263785,-7.05940783,4,3
4.2184,-1.266630137,-6.404351812,4,3
4.2284,-1.327323447,-5.717347585,4,3
4.2384,-1.381013427,-5.002706439,4,3
4.2484,-1.427421665,-4.264781032,4,3
4.2584,-1.466322692,-3.507952022,4,3
4.2684,-1.497543975,-2.736628058,4,3
4.2784,-1.52096592,-1.955245785,4,3
4.2884,-1.536521872,-1.168269844,4,3
4.2984,-1.544198112,-0.380192871,4,3
4.3084,-1.544033865,0.404464506,4,3
4.3184,-1.536101322,1.181368057,4,3
4.3284,-1.520474074,1.946320739,4,3
4.3384,-1.497286714,2.694777394,4,3
4.3484,-1.466716133,3.422422629,4,3
4.3584,-1.42898053,4.125187193,4,3
4.3684,-1.384339401,4.799247984,4,3
4.3784,-1.333093549,5.441028046,4,3
4.3884,-1.275585077,6.047196569,4,3
4.3984,-1.212197392,6.614668889,4,3
4.4084,-1.143355201,7.140606489,4,3
4.4184,-1.069491086,7.622461,4,3
4.4284,-0.991026638,8.05778314,4,3
4.4384,-0.908458704,8.444195221,4,3
4.4484,-0.822295053,8.779685509,4,3
4.4584,-0.733052207,9.062614216,4,3
4.4684,-0.641255443,9.291713505,4,3
4.4784,-0.547438787,9.466087491,4,3
4.4884,-0.452145023,9.585212234,4,3
4.4984,-0.355925687,9.648935747,4,3
4.5084,-0.259341066,9.65747799,4,3
4.5184,-0.162931815,9.611293109,4,3
4.5284,-0.067221844,9.510846761,4,3
4.5626,0.251307916,9.140814616,5,4
4.6626,1.116389378,8.160814616,5,4
4.7626,1.883470839,7.180814616,5,4
4.8626,2.552552301,6.200814616,5,4
4.9626,3.123633763,5.220814616,5,4
5.0626,3.596715224,4.240814616,5,4
5.1626,3.971796686,3.260814616,5,4
5.2626,4.248878147,2.280814616,5,4
5.3626,4.427959609,1.300814616,5,4
5.4626,4.509041071,0.320814616,5,4
5.5626,4.492122532,-0.659185384,5,4
5.6626,4.377203994,-1.639185384,5,4
5.7626,4.164285456,-2.619185384,5,4
5.8626,3.853366917,-3.599185384,5,4
5.9626,3.444448379,-4.579185384,5,4
6.0626,2.93752984,-5.559185384,5,4
6.1626,2.332611302,-6.539185384,5,4
6.2626,1.629692764,-7.519185384,5,4
6.3626,0.828774225,-8.499185384,5,4
6.4562,-0.00967696,-9.412196948,6,5
6.4662,-0.103835317,-9.410508092,6,5
6.4762,-0.197710742,-9.355274451,6,5
6.4862,-0.290771235,-9.247193893,6,5
6.4962,-0.382487102,-9.087254667,6,5
6.5062,-0.472345634,-8.876729632,6,5
6.5162,-0.559851658,-8.617176196,6,5
6.5262,-0.644530755,-8.310429056,6,5
6.5362,-0.725950429,-7.958534326,6,5
6.5462,-0.803649354,-7.563859387,6,5
6.5562,-0.877187947,-7.128979609,6,5
6.5662,-0.946164531,-6.656643978,6,5
6.5762,-1.010215331,-6.149775093,6,5
6.5862,-1.069014476,-5.611469168,6,5
6.5962,-1.122273998,-5.044996031,6,5
6.6062,-1.169743834,-4.453799125,6,5
6.6162,-1.211211823,-3.841495507,6,5
6.6262,-1.246502206,-3.211685739,6,5
6.6362,-1.275450999,-2.567885475,6,5
6.6462,-1.297917229,-1.914046796,6,5
6.6562,-1.31380328,-1.25407309,6,5
6.6662,-1.323055205,-0.591800207,6,5
6.6762,-1.325662727,0.069003548,6,5
6.6862,-1.321659236,0.72463741,6,5
6.6962,-1.311121793,1.371468154,6,5
6.7062,-1.294171125,2.005930097,6,5
6.7162,-1.270971631,2.624525096,6,5
6.7262,-1.241710213,3.223926285,6,5
6.7362,-1.206568678,3.800926778,6,5
6.7462,-1.165789695,4.352200505,6,5
6.7562,-1.119643964,4.874666648,6,5
6.7662,-1.068428525,5.365501752,6,5
6.7762,-1.01246675,5.822139729,6,5
6.7862,-0.952108347,6.242271858,6,5
6.7962,-0.887729359,6.623846785,6,5
6.8062,-0.819732166,6.965070522,6,5
6.8162,-0.748541312,7.264409576,6,5
6.8262,-0.674555416,7.520528919,6,5
6.8362,-0.598224895,7.732134632,6,5
6.8462,-0.520016767,7.898202345,6,5
6.8562,-0.440395852,8.018017853,6,5
6.8662,-0.359824769,8.091177116,6,5
6.8762,-0.278763942,8.117586263,6,5
6.8862,-0.197671593,8.097461588,6,5
6.8962,-0.117003745,8.031329551,6,5
6.9062,-0.037214225,7.92002678,6,5
6.962,0.388290134,7.351081701,7,6
7.062,1.074398304,6.371081701,7,6
7.162,1.662506474,5.391081701,7,6
7.262,2.152614644,4.411081701,7,6
7.362,2.544722814,3.431081701,7,6
7.462,2.838830984,2.451081701,7,6
7.562,3.034939155,1.471081701,7,6
7.662,3.133047325,0.491081701,7,6
7.762,3.133155495,-0.488918299,7,6
7.862,3.035263665,-1.468918299,7,6
7.962,2.839371835,-2.448918299,7,6
8.062,2.545480005,-3.428918299,7,6
8.162,2.153588175,-4.408918299,7,6
8.262,1.663696345,-5.388918299,7,6
8.362,1.075804515,-6.368918299,7,6
8.462,0.389912686,-7.348918299,7,6
8.5187,-0.042450671,-7.871736049,8,7
8.5287,-0.121180546,-7.866746268,8,7
8.5387,-0.199640797,-7.817023411,8,7
8.5487,-0.27738516,-7.723171772,8,7
8.5587,-0.353969192,-7.586032721,8,7
8.5687,-0.428964234,-7.406685578,8,7
8.5787,-0.50195748,-7.186447639,8,7
8.5887,-0.572551976,-6.926874171,8,7
8.5987,-0.640376284,-6.629725251,8,7
8.6087,-0.705080963,-6.296923908,8,7
8.6187,-0.766294487,-5.930670934,8,7
8.6287,-0.823675014,-5.533306287,8,7
8.6387,-0.87691381,-5.10729916,8,7
8.6487,-0.925735243,-4.655247974,8,7
8.6587,-0.969896786,-4.179880385,8,7
8.6687,-1.009189016,-3.68405328,8,7
8.6787,-1.043435615,-3.170752778,8,7
8.6887,-1.072493367,-2.643094228,8,7
8.6987,-1.096247596,-2.104134319,8,7
8.7087,-1.114590448,-1.556866085,8,7
8.7187,-1.127439955,-1.00463061,8,7
8.7287,-1.134749971,-0.450702235,8,7
8.7387,-1.136510174,0.101722046,8,7
8.7487,-1.132746063,0.649522579,8,7
8.7587,-1.123518963,1.189657058,8,7
8.7687,-1.108926019,1.719160519,8,7
8.7787,-1.089100199,2.235145343,8,7
8.7887,-1.064210295,2.734801257,8,7
8.7987,-1.034439904,3.215471402,8,7
8.8087,-0.999970059,3.674575144,8,7
8.8187,-0.961033048,4.109497223,8,7
8.8287,-0.917881981,4.517840757,8,7
8.8387,-0.87078981,4.897432572,8,7
8.8487,-0.820049326,5.246323205,8,7
8.8587,-0.765973159,5.562786902,8,7
8.8687,-0.70889378,5.845321616,8,7
8.8787,-0.6491635,6.09264901,8,7
8.8887,-0.587143265,6.303716219,8,7
8.8987,-0.523179804,6.477584711,8,7
8.9087,-0.457667399,6.613405622,8,7
8.9187,-0.391001612,6.710578404,8,7
8.9287,-0.323574092,6.768759062,8,7
8.9387,-0.255772578,6.78786015,8,7
8.9487,-0.1879809,6.768050774,8,7
8.9587,-0.120578974,6.709756592,8,7
8.9687,-0.05394281,6.613659812,8,7
