2018-02-05 18:05:56,427 INFO  [algorithm] The sample is inside the domain
2018-02-05 18:05:56,427 INFO  [algorithm] Bayesian estimations algorithm started
2018-02-05 19:53:54,217 INFO  [algorithm] Random sample size: 574
2018-02-05 19:53:54,217 INFO  [algorithm] Bayesian estimations algorithm finished
2018-02-05 19:53:54,217 INFO  [algorithm] Probability: [0.649653,0.749653]

2018-02-05 19:53:54,217 INFO  [algorithm] Quasi-random sample: Kd:[-0.000588318,-0.000588318]; Ki:[-5.53751e-07,-5.53751e-07]; Kp:[-0.000707181,-0.000707181]; 
2018-02-05 19:53:54,217 INFO  [algorithm] The sample is inside the domain
2018-02-05 19:53:54,217 INFO  [algorithm] Bayesian estimations algorithm started
2018-02-05 20:25:29,428 INFO  [algorithm] Random sample size: 289
2018-02-05 20:25:29,428 INFO  [algorithm] Bayesian estimations algorithm finished
2018-02-05 20:25:29,428 INFO  [algorithm] Probability: [0,0.0774914]

2018-02-05 20:25:29,428 INFO  [algorithm] Quasi-random sample: Kd:[-0.0625914,-0.0625914]; Ki:[-1.05148e-06,-1.05148e-06]; Kp:[0.00036092,0.00036092]; 
2018-02-05 20:25:29,428 INFO  [algorithm] The sample is outside the domain
2018-02-05 20:25:29,428 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 20:25:29,428 INFO  [algorithm] Quasi-random sample: Kd:[-0.0125777,-0.0125777]; Ki:[-2.62178e-07,-2.62178e-07]; Kp:[6.86013e-05,6.86013e-05]; 
2018-02-05 20:25:29,428 INFO  [algorithm] The sample is outside the domain
2018-02-05 20:25:29,428 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 20:25:29,428 INFO  [algorithm] Quasi-random sample: Kd:[0.00176772,0.00176772]; Ki:[-1.07752e-07,-1.07752e-07]; Kp:[-0.000475584,-0.000475584]; 
2018-02-05 20:25:29,428 INFO  [algorithm] The sample is outside the domain
2018-02-05 20:25:29,428 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 20:25:29,428 INFO  [algorithm] Quasi-random sample: Kd:[0.0268565,0.0268565]; Ki:[-3.93369e-08,-3.93369e-08]; Kp:[-7.84605e-05,-7.84605e-05]; 
2018-02-05 20:25:29,428 INFO  [algorithm] The sample is outside the domain
2018-02-05 20:25:29,428 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 20:25:29,428 INFO  [algorithm] Quasi-random sample: Kd:[-3.11836e-05,-3.11836e-05]; Ki:[-5.02208e-07,-5.02208e-07]; Kp:[-0.000711899,-0.000711899]; 
2018-02-05 20:25:29,428 INFO  [algorithm] The sample is inside the domain
2018-02-05 20:25:29,428 INFO  [algorithm] Bayesian estimations algorithm started
2018-02-05 20:58:47,553 INFO  [algorithm] Random sample size: 280
2018-02-05 20:58:47,554 INFO  [algorithm] Bayesian estimations algorithm finished
2018-02-05 20:58:47,554 INFO  [algorithm] Probability: [0,0.0712766]

2018-02-05 20:58:47,554 INFO  [algorithm] Quasi-random sample: Kd:[-0.0515395,-0.0515395]; Ki:[-9.35287e-07,-9.35287e-07]; Kp:[-0.00088124,-0.00088124]; 
2018-02-05 20:58:47,554 INFO  [algorithm] The sample is inside the domain
2018-02-05 20:58:47,554 INFO  [algorithm] Bayesian estimations algorithm started
2018-02-05 21:26:11,322 INFO  [algorithm] Random sample size: 289
2018-02-05 21:26:11,322 INFO  [algorithm] Bayesian estimations algorithm finished
2018-02-05 21:26:11,322 INFO  [algorithm] Probability: [0,0.0809278]

2018-02-05 21:26:11,322 INFO  [algorithm] Quasi-random sample: Kd:[-0.088549,-0.088549]; Ki:[-5.64274e-07,-5.64274e-07]; Kp:[-0.000244203,-0.000244203]; 
2018-02-05 21:26:11,322 INFO  [algorithm] The sample is inside the domain
2018-02-05 21:26:11,322 INFO  [algorithm] Bayesian estimations algorithm started
2018-02-05 21:42:08,684 INFO  [algorithm] Random sample size: 270
2018-02-05 21:42:08,684 INFO  [algorithm] Bayesian estimations algorithm finished
2018-02-05 21:42:08,684 INFO  [algorithm] Probability: [0,0.0573529]

2018-02-05 21:42:08,684 INFO  [algorithm] Quasi-random sample: Kd:[-0.0224488,-0.0224488]; Ki:[-1.70311e-06,-1.70311e-06]; Kp:[-0.000798981,-0.000798981]; 
2018-02-05 21:42:08,684 INFO  [algorithm] The sample is outside the domain
2018-02-05 21:42:08,684 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 21:42:08,684 INFO  [algorithm] Quasi-random sample: Kd:[-0.131321,-0.131321]; Ki:[-6.39288e-07,-6.39288e-07]; Kp:[-0.00072155,-0.00072155]; 
2018-02-05 21:42:08,684 INFO  [algorithm] The sample is outside the domain
2018-02-05 21:42:08,684 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 21:42:08,684 INFO  [algorithm] Quasi-random sample: Kd:[-0.0796639,-0.0796639]; Ki:[-8.61728e-07,-8.61728e-07]; Kp:[-1.61437e-05,-1.61437e-05]; 
2018-02-05 21:42:08,684 INFO  [algorithm] The sample is inside the domain
2018-02-05 21:42:08,685 INFO  [algorithm] Bayesian estimations algorithm started
2018-02-05 22:00:13,699 INFO  [algorithm] Random sample size: 277
2018-02-05 22:00:13,699 INFO  [algorithm] Bayesian estimations algorithm finished
2018-02-05 22:00:13,699 INFO  [algorithm] Probability: [0,0.0643369]

2018-02-05 22:00:13,699 INFO  [algorithm] Quasi-random sample: Kd:[-0.0810991,-0.0810991]; Ki:[-2.46704e-07,-2.46704e-07]; Kp:[-0.000262537,-0.000262537]; 
2018-02-05 22:00:13,699 INFO  [algorithm] The sample is inside the domain
2018-02-05 22:00:13,699 INFO  [algorithm] Bayesian estimations algorithm started
2018-02-05 22:17:54,903 INFO  [algorithm] Random sample size: 270
2018-02-05 22:17:54,903 INFO  [algorithm] Bayesian estimations algorithm finished
2018-02-05 22:17:54,903 INFO  [algorithm] Probability: [0,0.0573529]

